name,brand,type,description,controls,price_usd,power,bypass,year_introduced
Boss CE-2W,Boss,Chorus,"Waza Craft reissue of the legendary CE-2 chorus. Produces a warm, shimmering modulation. Two modes: Standard (CE-2 circuit) and CE-1 (chorus ensemble). Essential for clean tones.","Rate, Depth, Mode Switch",199,9V DC,Buffered,2016
EHX Small Clone,Electro-Harmonix,Chorus,"Simple chorus pedal made famous by Kurt Cobain on Nevermind. A depth switch toggles between subtle shimmer and deep warble. One of the most recognizable chorus sounds in rock.","Rate, Depth Switch",89,9V DC,True Bypass,1979
TC Electronic Hall of Fame 2,TC Electronic,Reverb,"Versatile reverb with TonePrint technology for loading custom artist presets via smartphone. Shimmer mode adds an octave-up reverb for ambient soundscapes. MASH footswitch for expression control.","Decay, Tone, Level, Type Selector",149,9V DC,True Bypass,2017
JHS Morning Glory,JHS Pedals,Overdrive,"Transparent low-to-medium gain overdrive inspired by the Marshall Bluesbreaker circuit. Cleans up beautifully with your guitar's volume knob. Great for always-on foundation tone.","Volume, Drive, Tone, Bright Switch",199,9V DC,True Bypass,2009
Walrus Audio Julia,Walrus Audio,Chorus/Vibrato,"Analog chorus and vibrato with a unique dry/wet blend knob (D-C-V). Ranges from subtle chorus to seasick vibrato. Lag control adds a flanging quality at extreme settings.","Rate, Depth, Lag, D-C-V Blend",199,9V DC,True Bypass,2016
EarthQuaker Devices Afterneath,EarthQuaker Devices,Reverb,"An otherworldly reverb that generates a swarm of short delays to create a cavernous, ambient wash. Drag control adjusts delay time for everything from tight reflections to infinite caverns.","Length, Diffuse, Dampen, Drag, Mix, Reflect",229,9V DC,True Bypass / Flexi-Switch,2014
MXR Carbon Copy,MXR,Delay,"Warm analog delay with up to 600ms of delay time using bucket-brigade chips. Modulation switch adds a subtle chorus to the repeats for extra depth. Dark, musical repeats that never get harsh.","Regen, Mix, Delay, Mod Switch",149,9V DC,True Bypass,2008
Boss TU-3,Boss,Tuner,"Industry-standard chromatic tuner pedal. Bright LED display visible in any lighting. Supports 7-string guitars and 6-string basses. Provides a buffered output to maintain signal quality in long chains.","Display, Mode Button",99,9V DC,Buffered,2009
Fulltone OCD,Fulltone,Overdrive/Distortion,"Versatile drive pedal that covers everything from clean boost to thick distortion. The HP/LP toggle changes the clipping character. Responds dynamically to picking intensity and guitar volume.","Volume, Drive, Tone, HP/LP Switch",145,9V DC,True Bypass,2004
Chase Bliss Audio Mood,Chase Bliss Audio,Delay/Reverb/Looper,"Experimental micro-looper and reverb/delay hybrid. Two channels (wet and clock) create unpredictable ambient textures. DIP switches on the back unlock hidden parameters. Beloved by ambient guitarists.","Time, Length, Mix, Clock, Modify, Channel Toggle",349,9V DC,Relay Bypass,2019
Wampler Tumnus,Wampler,Overdrive,"A faithful Klon Centaur clone in a mini enclosure. Transparent overdrive that preserves your amp's character while adding smooth gain and presence. Fraction of the price of an original Klon.","Gain, Level, Treble",149,9V DC,True Bypass,2014
EHX POG2,Electro-Harmonix,Octave,"Polyphonic octave generator that tracks chords flawlessly. Produces sub-octave, dry, and octave-up signals simultaneously. Built-in attack slider and LP filter for organ-like tones.","Sub Octave, Dry, Octave Up, Attack, LP Filter, Detune, Preset",299,9V DC,Buffered,2009
Boss RC-5,Boss,Looper,"Compact loop station with up to 13 hours of recording time. 99 phrase memories, built-in rhythm patterns, and USB for importing/exporting loops. Undo/redo for layering.","Level, Rhythm, Memory, Loop Controls",179,9V DC,Buffered,2020
Digitech Whammy,Digitech,Pitch Shifter,"Expression pedal-controlled pitch shifter offering harmonized intervals, detune, and the famous dive-bomb effect. A signature tool for Tom Morello and Jack White. Classic setting: 2 octaves up.","Pitch Selector, Expression Rocker",249,9V AC,True Bypass,1989
Way Huge Swollen Pickle,Way Huge,Fuzz,"Scooped mid fuzz with extreme range of tones. Internal trim pots allow fine-tuning of voice and clip characteristics. From smooth singing fuzz to gnarly gated sputtering chaos.","Loudness, Sustain, Filter, Scoop, Internal Trims",149,9V DC,True Bypass,1997
